jmpJobID,omlPartGroupID,jmpPartLongDescriptionText,jmpPartShortDescription,completeddate,sellvalue,kw,ls,econ,age,cost,labourhours,GP,GM
14326-01-01,PP,"PPAC-8.1
1700 l/s PoolPac Unit with Single Stage Heating and Cooling c/w EC Plug Fans, CPG Constant Speed Fan Controllers, 80% Efficient Non-Metallic Counterflow Heat Exchanger, Full Tropic Proof Corrosion Treatment, Draw Through Coils and Special Construct (Inverted SA/EA Decks).

SA : 1700 l/s @ 300Pa
OA : 1700 l/s + 1020 l/s Cond Air
RA : 1700 l/s
EA: 1700 l/s + 1020 l/s Cond Air @ 300Pa ESP
",1700 l/s PoolPac Unit                             ,2016-07-06,32000.0,34.0,1700.0,0,1879,17157.8196633,140.35,14842.1803367,0.46
14326-01-02,PP,"PPAC-8.2
1700 l/s PoolPac Unit with Single Stage Heating and Cooling c/w EC Plug Fans, CPG Constant Speed Fan Controllers, 80% Efficient Non-Metallic Counterflow Heat Exchanger, Full Tropic Proof Corrosion Treatment, Draw Through Coils and Special Construct (Inverted SA/EA Decks).

SA : 1700 l/s @ 300Pa
OA : 1700 l/s + 1020 l/s Cond Air
RA : 1700 l/s
EA: 1700 l/s + 1020 l/s Cond Air @ 300Pa ESP
",1700 l/s PoolPac Unit                             ,2016-07-07,32000.0,34.0,1700.0,0,1878,16026.580387300002,119.85,15973.419612699998,0.5
14589-01-01,PP,"ERV-01
2300 l/s DX PoolPac Unit with Dual Stage Heating and Cooling c/w 80% Efficient Sensible Only Counterflow Heat Exchanger, Full Tropic Corrosion Resistant Coating, EC Plug Fans and CPG Constant Speed Controllers
SA : 2300 l/s 
OA : 2300 l/s
RA : 2300 l/s",2300 l/s PoolPac Unit                             ,2016-07-04,42855.0,46.0,2300.0,0,1881,24587.4903197,188.0,18267.5096803,0.43
14583-01-02,RTP,"AHU/PA/DS1; AHU/PA/DS2

2 off 23 kW Rooftop Packaged Unit with Single Stage Heating and Cooling
SA, OA, RA : 865 l/s

Options:
Return Air Bypass Dampers
EC Plug Fans
VSD Compressor (R410a)
Factory Controls Package - incl room module (temp sensor and adjustment,
on/off, status), CO2 sensor, run timer)
Half Day Commissioning Supervision
",23 kW Rooftop Packaged Unit                       ,2016-07-18,31800.0,23.0,865.0,0,1867,20869.6157499,145.0,10930.3842501,0.34
14583-01-01,RTP,"AHU/PA/DS1; AHU/PA/DS2

2 off 23 kW Rooftop Packaged Unit with Single Stage Heating and Cooling
SA, OA, RA : 865 l/s

Options:
Return Air Bypass Dampers
EC Plug Fans
VSD Compressor (R410a)
Factory Controls Package - incl room module (temp sensor and adjustment,
on/off, status), CO2 sensor, run timer)
Half Day Commissioning Supervision
",23 kW Rooftop Packaged Unit                       ,2016-07-18,31800.0,23.0,865.0,0,1867,21694.3270463,157.5,10105.6729537,0.32
14604-02-01,ERVCO,"HX-2
3000 l/s Energy Recovery Ventilator Unit c/w 80% efficient Non Metallic Sensible-Only Counterflow Heat Exchanger.  Excludes VSDs and wiring
SA : 2550 l/s
OA : 2550 l/s
RA : 2550 l/s",3000 l/s Energy Recovery Ventilator Unit          ,2016-07-06,15908.0,60.0,3000.0,0,1879,10654.3441552,63.25,5253.6558448,0.33
14575-01-01,PP,"AHU-1
1200 l/s PoolPac Unit with Single Stage Heating and Cooling
SA, OA : 800 l/s
Complete with:
-EC Plug Fans
-Corrosion Resistant treatment to fans, heat exchanger and cabinet
-80% Efficiency Sensible-only heat exchanger

Functionality is wired to a terminal strip - controls by others
",1200 l/s PoolPac Unit                             ,2016-08-23,30500.0,24.0,1200.0,0,1831,15418.5376677,116.25,15081.4623323,0.49
14155-05-02,ERVCO,"AHU-3-01 & AHU-3-02
5000 l/s Energy Recovery Ventilator Unit
Options: EC Plug Fans, Heated Water Coils, Corrosion Resistance, Sensible Only Heat Exchanger
SA : 5000 l/s
OA : 5000 l/s
EA : 4800 l/s",5000 l/s Energy Recovery Ventilator Unit          ,2016-07-11,28071.5,100.0,5000.0,0,1874,24520.6412734,132.25,3550.8587265999995,0.13
14155-06-01,ERVCO,"AHU-3-03
1500 l/s Energy Recovery Ventilator Unit.
Options: EC Plug Fans, Heated Water Coils, Corrosion Resistance, Sensible Only Heat Exchanger
SA : 1500 l/s
OA : 1500 l/s
EA : 1400 l/s",1500 l/s Energy Recovery Ventilator Unit          ,2016-07-12,12523.6,30.0,1500.0,0,1873,13244.2003369,122.5,-720.6003368999991,-0.06
14155-05-01,ERVCO,"AHU-3-01 & AHU-3-02
5000 l/s Energy Recovery Ventilator Unit
Options: EC Plug Fans, Heated Water Coils, Corrosion Resistance, Sensible Only Heat Exchanger
SA : 5000 l/s
OA : 5000 l/s
EA : 4800 l/s",5000 l/s Energy Recovery Ventilator Unit          ,2016-07-11,28071.5,100.0,5000.0,0,1874,24975.764003,141.25,3095.7359969999998,0.11
14648-01-01,PP,"1000 l/s PoolPac Unit with Single Stage Heating and Cooling
SA : 1000 l/s
OA : 1000 l/s
RA : 1000 l/s
",1000 l/s PoolPac Unit                             ,2016-07-26,21830.0,20.0,1000.0,0,1859,14015.9483666,133.75,7814.0516334,0.36
